audiocaps_id,source_audio_prompt,target_audio_prompt
103056,Water running softly in the background followed by several shrill beeps and a man speaking,"Water running softly in the background followed by several shrill beeps, a man speaking, and the sound of a book page being turned"
105133,"White noise, then a motor revving up and a tire skidding","White noise, then a motor revving up, a tire skidding, and a sudden police siren that wails briefly"
102971,A loud engine roars followed by four loud beeps.,"A loud engine roars followed by four loud beeps, with a siren wailing at a distance"
105347,A toilet flushing,"A toilet flushing, followed by a door opening"
106149,Sustained industrial engine noise,"Sustained industrial engine noise with distant, repeated clanging of metal sheets"
107108,A person snoring loudly followed by a man speaking,"A person snoring loudly, the sound of a phone vibrating on a wooden surface, followed by a man speaking"
105677,An engine running and then accelerating,An engine running and then accelerating with the chirping of birds in the background
105114,A young girl speaks with some crinkling plastic,A young girl speaks with some crinkling plastic as a clock ticks steadily in the background
107273,A woman and man talk on the phone,A woman and man talk on the phone while a clock ticks steadily
106187,"Birds are cooing, and wings flap","Birds are cooing, and wings flap as a stream bubbles gently"
106736,Dogs growling as a pig snorts while grass rustles and someone is heavily breathing,"Dogs growling as a pig snorts while grass rustles as someone walks closer through it, and someone is heavily breathing"
104102,A toilet flushes and water drains,"A toilet flushes and water drains, followed by the sound of a wooden door closing shut"
106443,Plastic tapping followed by an electronic beep then by a toy car motor revving and plastic scrapping against a wooden surface,"Plastic tapping followed by an electronic beep then by a toy car motor revving, a plastic click, and plastic scrapping against a wooden surface"
104367,Burping and laughing from girls who then speak,"Burping and laughing from girls who then speak, with a glass being placed on a wooden table"
103616,A man speaks followed by loud snoring,"A man speaks. A dog barks softly, followed by loud snoring"
102798,Several quacks of a duck are followed by a man speaking,"Several quacks of a duck are followed by a man speaking, then rustling reeds and lapping water"
103044,Buzzing and humming of a motor with a man speaking,Buzzing and humming of a motor with a man speaking and the faint rustling of papers
105386,An infant crying,An infant crying with the gentle sounds of a rocking chair creaking repeatedly
104484,A man talking followed by an idle motorbike engine running,"A man talking followed by an idle motorbike engine running, with a distant dog barking in the background"
105986,Rain and thunder,"Rain, thunder, and a distant church bell tolling"
103916,Subway train blowing its horn.,Subway train blowing its horn as approaching footsteps echo on the platform nearby
105680,An engine running and helicopter propellers spinning,"An engine running, helicopter propellers spinning, and a distant public address announcement"
104911,A whistling noise with wind blowing in the background,A whistling noise with wind blowing and gentle rain falling in the background
103208,An emergency siren wailing as a motorcycle drives by,"An emergency siren wailing as a motorcycle drives by, with a dog barking in the distance"
103422,"A woman speaks quietly, and man answers much louder, then she speaks again","A woman speaks quietly, a man answers much louder, then she speaks again, with the sound of a chair creaking quietly in the background"
106869,An aircraft accelerating as gusts of wind blow followed by fiber glass clanking while an emergency siren goes off in the background,"An aircraft accelerating as gusts of wind blow followed by fiber glass clanking while an emergency siren goes off in the background, with luggage being wheeled over pavement in the distance"
106416,An adult female is speaking and her voice is amplified,An adult female is speaking and her voice is amplified while an audience applauds gently
106567,A siren that gets louder and muffled male speech,"A siren that gets louder and muffled male speech, with heavy footsteps approaching over wet asphalt"
105097,Humming noise with clock tick-tocking,Humming noise with clock tick-tocking and a refrigerator motor cycling on
107362,A train is passing by and sound its whistle.,A train is passing by and sounds its whistle while a horse trotts nearby
105958,"Scary laughter by an adult male occurs, followed by a click and a buzz, and a baby begins crying","Scary laughter by an adult male occurs, followed by a click and a buzz, a baby begins crying, and a deep, resonant thud is heard"
104588,A kid crying as a man and woman talk while a vehicle door opens then closes,"A kid crying as a man and woman talk while a vehicle door opens then closes, with distant thunder rumbling in the background"
105666,Bells ringing repeatedly,Bells ringing repeatedly amid the sound of a large crowd cheering
106747,"Wind and rain sounds, then a man begins to talk","Wind and rain sounds with a distant car engine starting, then a man begins to talk"
105274,Men riding in the car talking then man burps loudly and then the other chuckles,"Men riding in a car talking, then one man burps loudly, a tire screeches sharply, and the other man chuckles"
104868,Men speak and laugh with humming of an engine,Men speak and laugh with humming of an engine and a door closing firmly
106648,A man is speaking with tapping noises and dishes being moved,"A man is speaking with tapping noises and dishes being moved, accompanied by a low hum of a refrigerator motor in the background"
105051,Gravely sound with women voice in background,Gravelly sound with a woman’s voice in the background and a gust of wind howling
104764,Continuous basing and rustling,Continuous basing and rustling over a low electronic hum
6223,Wind is blowing and water gurgles,"Wind is blowing, water gurgles, and distant low thunder rumbles menacingly"
104659,Humming of a distant aircraft engine,Humming of a distant aircraft engine accompanied by the soft rustle of leaves in a breeze
106295,Female speech and rubbing,"Female speech, rubbing, and a distant bell ringing"
106936,A woman heavily breathing then sneezing and then sniffling,"A woman heavily breathing then sneezing and then sniffling, followed by the sound of a tissue box being pulled from a plastic sleeve"
104620,A man talking followed by wind blowing into a microphone while insects buzz,"A man talking followed by wind blowing into a microphone while insects buzz, with a distant train passing by"
107069,A woman speaking,A woman speaking with soft classical cello music in the background
104514,A woman speaks while a crowd talks and chuckles,"A woman speaks while a crowd talks and chuckles, with the intermittent chiming of a grand clock in the distance"
102746,Water splashing followed by a woman speaking,"Water splashing, a boat engine idling, followed by a woman speaking"
103456,A woman speaks then a small child speaks,"A woman speaks, then a small child speaks, with a dog barking in the background"
103787,A person heavily breathing as wood creaks and ducks quack,"A person heavily breathing as wood creaks and ducks quack, with faint distant rhythmic waves lapping against a shore"
11560,A cat meows and hisses,A cat meows and hisses while gentle footsteps can be heard
103170,A main is smoothly speaking over a loud faint noise,A man is smoothly speaking over a loud faint noise and a telephone ringing
104656,A man talking as metal clacks followed by metal scrapping against a metal surface,"A man talking as metal clacks followed by metal scraping against a metal surface, with the faint hum of industrial machinery in the background"
106531,A person belching several times as a group of people laugh,"A person belching several times as a group of people laugh, with one individual snorting mid-laugh"
104445,A man talking as gusts of wind blow followed by an aircraft flying by,"A man talking as gusts of wind blow, a distant train whistle blows, followed by an aircraft flying by"
104269,An engine idling with light wind,An engine idling with light wind and gentle rain
106324,The voices of a man and a women talking,The voices of a man and a woman talking with a phone ringing in the background
107227,Insects buzzing as a man speaks while birds chirp and wind blows into a microphone,"Insects buzzing as a man speaks while birds chirp and wind blows into a microphone, with the intermittent sound of a distant waterfall"
103282,"A race car races, and the engine accelerates",A race car races with the engine accelerating while a crowd of fans cheers along the side of the racetrack
104679,A motor humming as wood is being scrapped and sanded,"A motor humming, wood being scrapped and sanded, and a bird chirping a quick trill"
104584,A car door opening as a crow caws and birds chirp followed by a vehicle driving by in the background,"A car door opening as a crow caws and birds chirp is followed by footsteps on gravel stepping away, then the sound of the car door closing, with a vehicle driving by in the background"
105111,A woman speaks with nearby insects buzzing,"A woman speaks with nearby insects buzzing, and a dog barks playfully in the garden"
105170,A woman speaks with flapping wings and chirping birds,"A woman speaks with flapping wings, chirping birds, and a gentle stream flowing"
106690,A woman talking followed by a bird whistling then a person whistling,A woman talking followed by a bird whistling then a person whistling and pages turning
106724,A woman speaks with chirping frogs and distant music playing,"A woman speaks with chirping frogs, distant music, and a gentle stream flowing"
104953,Race cars are racing and skidding tires,Race cars are racing and skidding tires alongside the urgent narration of a trackside commentator
103013,A man talking as a kid yells followed by an aircraft flying in the distance as wind blows into a microphone,A man talking as a kid yells followed by an aircraft flying in the distance as wind blows into a microphone with a distant crowd cheering
105271,People are communicating followed by a dog barking and a vehicle moving,"People are communicating followed by a dog barking, a vehicle moving, and a distant church bell chiming"
103115,Air spraying followed by fire igniting then audio static proceeded by pressurized air releasing before softly hissing,"Air spraying followed by fire igniting then audio static proceeded by pressurized air releasing before softly hissing, then a distant, powerful waterfall"
105804,A young male speaking,A young male speaking while typing lightly on a keyboard
105707,"Slight rustling and thumping occur, followed by a flush of water with splashing and gurgling","Slight rustling and thumping occur, followed by a flush of water with splashing and gurgling, and then a drawer sliding open"
105865,Ocean waves crashing as water trickles and splashes,"Ocean waves crashing as water trickles and splashes, with seagulls calling overhead"
103831,A crowd of people applauding and cheering,A crowd of people applauding and cheering as a marching band plays a celebratory tune
17066,Very loud explosions with pops and bursts of more explosions,"Very loud explosions with pops and bursts of more explosions, accompanied by the distant, panicked shouts of a crowd"
104837,A man gasping for air then talking followed by mumbling,"A man gasping for air then talking followed by mumbling, with a faint, repetitive thumping of a heartbeat in the background"
103207,A man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing,"A glass clinks, a man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing"
106591,Wind blows hard then a man speaks,"Wind blows hard, then a man speaks, and a distant dog barks"
104166,A man briefly talks followed by a drilling sound on wood,"A man briefly talks followed by a drilling sound on wood, with a dog barking in the background"
102957,Loud snoring followed by brief silence then speech,"Loud snoring followed by brief silence then speech, with a distant train whistle sounding afterwards"
106510,Water flowing and trickling,"Water flowing and trickling, with the distant, intermittent chime of a windbell"
105301,A vacuum cleaner is operating with wind noise,A vacuum cleaner is operating with wind noise as a person hums along nearby
105916,A baby crying and cooing,A baby crying and cooing with a gentle musical lullaby playing in the background
104129,Metal clanking and gears cranking as steam hisses,"Metal clanks, gears crank, steam hisses, and a sharp steam whistle releases"
106165,A maniacal laugh followed by a crying baby,A maniacal laugh followed by a crying baby and a distant car alarm
105881,Burping and then laughing with continuous burping,"Burping, laughing, continuous burping, and the clatter of a falling glass followed by liquid pouring out"
104583,"Emergency vehicle sirens are ongoing, and two adult males speak","Emergency vehicle sirens are ongoing, two adult males speak, and a car engine idles"
106209,Plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing,"Plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing, with a dog barking from a backyard"
104419,A man talking followed by a woman shouting as wind blows into a microphone and birds chirp in the background,"A man talking followed by a woman shouting as wind blows into a microphone, with birds chirping and distant church bells ringing in the background"
105801,"People talk in the background and the wind is blows gently, and two kids speak in the foreground","People talk in the background and the wind blows gently, two kids speak in the foreground, and a distant airplane rumbles overhead"
107283,Several ducks quack and chirp as men speak and wind blows,"Several ducks quack and chirp as men speak and wind blows, with the quiet sound of slow rowboat oars dipping into calm water"
106247,A bus engine running followed by a vehicle horn honking,A bus engine running followed by a vehicle horn honking and windshield wipers swishing
104127,Pigeons coo and flap their wings,Pigeons coo and flap their wings as distant church bells ring
103348,A child talking then a man speaking with bird sounds in the background,A child talking then a man speaking with bird sounds and distant thunder in the background
104309,Sheep bleating with a baby sheep baaing,Sheep bleating with a baby sheep baaing and a person walking through tall grass
105925,Speaking and an engine running,"A person speaking, a vehicle engine running, and the rotor blades of a helicopter starting up"
103982,A man talking followed by a faucet running,"A man talking followed by a faucet running, then a phone ringing briefly"
106745,A person burps loudly,A person burps loudly and then gives a light cough
103593,Sneezing followed by a ticking clock and a man speaking,"Sneezing, a ticking clock, the sound of a page turning, and a man speaking"
32630,A man speaking followed by dogs barking alongside chimps screaming and birds chirping,A man speaking followed by dogs barking alongside chimps screaming and birds chirping with gentle rain in the background
106970,A motorboat engine running as a man talks followed by wind blowing into a microphone and plastic clacking,"A motorboat engine running as a man talks, followed by wind blowing into a microphone, plastic clacking, and a gull squawking overhead"
104379,Water is trickling while a woman is speaking,"Water is trickling while a woman is speaking, with a quiet, steady clock tick in the background"
10203,"Truck in idle mode, door closing, engine revving and accelerating","Truck in idle mode, door closing, a person walking with jingling keys, engine revving and accelerating"
106758,A man speaking and another speaks over the phone,A man speaking and another speaks over the phone while an engine rumbles and turns over
105847,A rooster crowing and birds cooing,"A rooster crowing, birds cooing, and a farmer sharpening a sickle"
103744,A vehicle engine running and revving several times,A vehicle engine running and revving several times with a honking car horn
104462,A clock ticking repeatedly,"A clock ticking repeatedly with the sound of a slow, deep heartbeat"
103385,"While an electronic device plays in the background, two wolf whistles occur followed by metal thumping","While an electronic device plays in the background, two wolf whistles occur followed by metal thumping, with a distant dog barking in the distance"
104326,Clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,"Clicks of weapons being loaded, a burst of static crackle, followed by a gunshot and a clink then a man speaks"
105024,A man speaks followed by a beep and a child speaks,"A man speaks, the sound of paper shuffling occurs, followed by a beep and a child speaks"
104800,Knocking sounds as race cars pass by,Knocking sounds as race cars pass by with a cheering crowd
104902,Footsteps shuffling followed by fabric slapping a hard surface as a person heavily breathes,"Footsteps shuffling followed by fabric slapping a hard surface as a person heavily breathes, with a phone buzzing on a table"
107084,A motorbike accelerating and revving as wind blows into a microphone,A motorbike accelerating and revving as wind blows into a microphone with distant rumbling thunder
8303,"A motor revs hard, a man speaks","A motor revs hard, a man speaks, and a crow loudly caws"
106482,White noise as footsteps run on concrete followed by liquid spraying and a person groaning,"White noise as footsteps run on concrete followed by liquid spraying, a person groaning, and distant police sirens"
103393,A stream of water trickling followed by water pouring down a drain,"A stream of water trickling followed by water pouring down a drain, with a bird chirping softly nearby"
105042,Someone in a crowd whistles while engines rev in cars going slowly by,"Someone in a crowd whistles while engines rev in cars going slowly by, and distant police sirens can be heard"
103850,Several cats meowing followed by a man singing in the background,Several cats meowing followed by a man singing in the background and a dog barking
105505,A woman talking followed by another woman talking as a goat is baaing,"A woman talking followed by another woman talking as a goat is baaing, with a wooden door creaking open in the background"
106201,A vehicle horn honking during a series of electronic beeps,"A vehicle horn honking during a series of electronic beeps, and a low rumble of a passing truck"
14618,Loud banging followed by chugging engine,Loud banging followed by chugging engine and a honking car horn
104249,A man speaks with chirping birds and faint buzzing of insects,"A man speaks with chirping birds, faint buzzing of insects, and a distant hammer knocking on wood"
