audiocaps_id,source_audio_prompt,target_audio_prompt
103056,Water running softly in the background followed by several shrill beeps and a man speaking,Water running powerfully in the background followed by several shrill beeps and a man speaking
105133,"White noise, then a motor revving up and a tire skidding","White noise, then a distant, echoing airplane engine and a tire skidding"
102971,A loud engine roars followed by four loud beeps.,A loud engine roars followed by a quick series of three softer chimes
105347,A toilet flushing,A distant toilet flushing softly
106149,Sustained industrial engine noise,"Sustained industrial engine with a high, whining pitch and irregular sputtering"
107108,A person snoring loudly followed by a man speaking,A person breathing softly and rhythmically followed by a man speaking
105677,An engine running and then accelerating,A motorcycle engine running and then accelerating
105114,A young girl speaks with some crinkling plastic,A young girl laughs with some crinkling plastic
107273,A woman and man talk on the phone,A woman and man converse on their phones amidst the chatter and clatter of a café
106187,"Birds are cooing, and wings flap",Birds are cooing amidst a gusting wind
106736,Dogs growling as a pig snorts while grass rustles and someone is heavily breathing,Dogs barking excitedly as a pig snorts while grass rustles and someone is heavily breathing
104102,A toilet flushes and water drains,A toilet flushes and the gurgle of a sink pipe emptying is heard
106443,Plastic tapping followed by an electronic beep then by a toy car motor revving and plastic scrapping against a wooden surface,Plastic tapping followed by an electronic beep then by a toy car motor revving and plastic scrapping against a metallic surface
104367,Burping and laughing from girls who then speak,"A deep, satisfied sigh, and laughing from girls who then speak"
103616,A man speaks followed by loud snoring,"A man hums a tune, followed by loud snoring"
102798,Several quacks of a duck are followed by a man speaking,Several quacks of a duck are followed by the soft chirping of small birds
103044,Buzzing and humming of a motor with a man speaking,Rhythmic chugging of an old engine with a man speaking
105386,An infant crying,An infant cooing softly and contentedly
104484,A man talking followed by an idle motorbike engine running,"A man talking followed by a rattling, poorly tuned idle motorbike engine running"
105986,Rain and thunder,"Rain and a series of deep, rumbling explosions in the distance"
103916,Subway train blowing its horn.,"Subway train emitting a long, mournful wail from its horn as it travels"
105680,An engine running and helicopter propellers spinning,An engine idling quietly and helicopter propellers spinning
104911,A whistling noise with wind blowing in the background,"A whistling noise with strong, roaring wind in the background"
103208,An emergency siren wailing as a motorcycle drives by,A police car siren wailing as a motorcycle drives by
103422,"A woman speaks quietly, and man answers much louder, then she speaks again","A woman speaks quietly with a heavy echo, and a man answers much louder, then she speaks again with a heavy echo"
106869,An aircraft accelerating as gusts of wind blow followed by fiber glass clanking while an emergency siren goes off in the background,An aircraft accelerating as gusts of wind blow followed by fiber glass clanking while a series of blaring electronic warning tones sounds in the background
106416,An adult female is speaking and her voice is amplified,"An adult female is speaking and her voice is processed with a deep, resonant echo"
106567,A siren that gets louder and muffled male speech,"A harsh, intermittent alarm beep that grows in volume and muffled male speech"
105097,Humming noise with clock tick-tocking,"Humming noise with the slow, heavy tick-tock of a large pendulum clock"
107362,A train is passing by and sound its whistle.,A train is passing by and its bell is ringing
105958,"Scary laughter by an adult male occurs, followed by a click and a buzz, and a baby begins crying","A gentle, amused chuckle by an adult male occurs, followed by a click and a buzz, and a baby begins crying"
104588,A kid crying as a man and woman talk while a vehicle door opens then closes,"A kid crying as a man and woman talk while a vehicle door opens then closes with a soft, cushioned sound"
