audiocaps_id,source_audio_prompt,target_audio_prompt
103056,Water running softly in the background followed by several shrill beeps and a man speaking,Water running softly in the background with a man speaking
105133,"White noise, then a motor revving up and a tire skidding","White noise, then a motor revving up"
102971,A loud engine roars followed by four loud beeps.,A loud engine roars
105347,A toilet flushing,Silence
106149,Sustained industrial engine noise,Silence
107108,A person snoring loudly followed by a man speaking,A man speaking
105677,An engine running and then accelerating,An engine running
105114,A young girl speaks with some crinkling plastic,A young girl speaks
107273,A woman and man talk on the phone,A woman speaks into a telephone
106187,"Birds are cooing, and wings flap",Wings flap in the air
106736,Dogs growling as a pig snorts while grass rustles and someone is heavily breathing,Dogs growling as a pig snorts while grass rustles
104102,A toilet flushes and water drains,A toilet flushes
106443,Plastic tapping followed by an electronic beep then by a toy car motor revving and plastic scrapping against a wooden surface,Plastic tapping followed by a toy car motor revving and plastic scrapping against a wooden surface
104367,Burping and laughing from girls who then speak,Burping from girls who then speak
103616,A man speaks followed by loud snoring,A man speaks
102798,Several quacks of a duck are followed by a man speaking,A man is speaking
103044,Buzzing and humming of a motor with a man speaking,Buzzing and humming of a motor
105386,An infant crying,Ambient silence in a nursery
104484,A man talking followed by an idle motorbike engine running,An idle motorbike engine running
105986,Rain and thunder,Rain falling steadily
103916,Subway train blowing its horn.,Subway train moving along the tracks softly
105680,An engine running and helicopter propellers spinning,An engine running
104911,A whistling noise with wind blowing in the background,Wind blowing in the background
103208,An emergency siren wailing as a motorcycle drives by,A motorcycle driving by
103422,"A woman speaks quietly, and man answers much louder, then she speaks again","A woman speaks quietly, then she speaks again"
106869,An aircraft accelerating as gusts of wind blow followed by fiber glass clanking while an emergency siren goes off in the background,An aircraft accelerating followed by fiber glass clanking while an emergency siren goes off in the background
106416,An adult female is speaking and her voice is amplified,An adult female is speaking
106567,A siren that gets louder and muffled male speech,A siren that gets louder
105097,Humming noise with clock tick-tocking,Clock tick-tocking
107362,A train is passing by and sound its whistle.,A train is passing by
105958,"Scary laughter by an adult male occurs, followed by a click and a buzz, and a baby begins crying","Scary laughter by an adult male occurs, followed by a click and a buzz"
104588,A kid crying as a man and woman talk while a vehicle door opens then closes,A kid crying as a vehicle door opens then closes
105666,Bells ringing repeatedly,Silence
106747,"Wind and rain sounds, then a man begins to talk","Wind sounds, then a man begins to talk"
105274,Men riding in the car talking then man burps loudly and then the other chuckles,"Men riding in a car talking softly, and then one man chuckles"
104868,Men speak and laugh with humming of an engine,Humming of an engine
